"Tableau 16. Faits constatés par la police et la gendarmerie, par département de France métropolitaine, en 2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Index de l'Etat 4001","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d'Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse-du-Sud","Haute-Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire de Belfort","Essonne","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise"
"Menaces ou chantages pour extorsion de fonds","35.0","35.0","18.0","13.0","8.0","184.0","25.0","22.0","8.0","21.0","45.0","19.0","354.0","45.0","10.0","15.0","35.0","41.0","9.0","62.0","50.0","5.0","29.0","34.0","56.0","51.0","51.0","60.0","18.0","11.0","94.0","244.0","8.0","165.0","116.0","84.0","10.0","62.0","190.0","21.0","20.0","22.0","86.0","12.0","123.0","109.0","11.0","14.0","3.0","72.0","20.0","56.0","15.0","21.0","60.0","20.0","46.0","73.0","22.0","313.0","102.0","17.0","95.0","36.0","40.0","26.0","38.0","117.0","158.0","232.0","22.0","34.0","74.0","38.0","79.0","1218.0","185.0","169.0","262.0","34.0","70.0","28.0","20.0","120.0","53.0","40.0","23.0","23.0","21.0","29.0","20.0","313.0","404.0","715.0","668.0","292.0"
"Menaces ou chantages dans un autre but","412.0","591.0","319.0","147.0","87.0","1656.0","228.0","375.0","68.0","361.0","365.0","158.0","4709.0","397.0","78.0","326.0","496.0","313.0","125.0","440.0","260.0","65.0","254.0","450.0","656.0","268.0","463.0","646.0","198.0","260.0","747.0","1397.0","93.0","1561.0","1151.0","701.0","210.0","393.0","1243.0","202.0","226.0","347.0","803.0","131.0","1194.0","917.0","142.0","190.0","49.0","601.0","344.0","632.0","204.0","170.0","587.0","133.0","454.0","1117.0","145.0","3997.0","716.0","228.0","1819.0","454.0","521.0","224.0","640.0","1276.0","926.0","2696.0","200.0","326.0","568.0","321.0","621.0","3263.0","2413.0","1641.0","1738.0","184.0","698.0","268.0","262.0","1304.0","730.0","293.0","220.0","254.0","284.0","441.0","114.0","1620.0","2121.0","3585.0","1636.0","2189.0"
"Atteintes à la dignité et à la  personnalité","311.0","379.0","151.0","92.0","37.0","1030.0","114.0","126.0","40.0","183.0","118.0","75.0","1374.0","253.0","51.0","112.0","197.0","197.0","79.0","261.0","194.0","28.0","99.0","247.0","214.0","197.0","214.0","325.0","94.0","178.0","420.0","698.0","44.0","575.0","602.0","289.0","101.0","156.0","782.0","125.0","124.0","160.0","437.0","103.0","557.0","398.0","47.0","126.0","33.0","200.0","100.0","323.0","121.0","117.0","261.0","85.0","249.0","606.0","135.0","1761.0","344.0","161.0","623.0","345.0","168.0","86.0","205.0","620.0","398.0","1009.0","98.0","209.0","301.0","197.0","380.0","1455.0","1205.0","482.0","529.0","144.0","340.0","129.0","88.0","502.0","275.0","195.0","148.0","157.0","130.0","191.0","52.0","440.0","405.0","594.0","313.0","649.0"
"Violations de domicile","53.0","79.0","30.0","24.0","10.0","347.0","42.0","39.0","8.0","46.0","48.0","23.0","312.0","61.0","4.0","37.0","69.0","42.0","31.0","41.0","95.0","9.0","46.0","58.0","67.0","56.0","27.0","150.0","29.0","27.0","108.0","139.0","10.0","164.0","148.0","85.0","14.0","45.0","98.0","31.0","47.0","32.0","81.0","26.0","197.0","77.0","12.0","48.0","7.0","77.0","42.0","66.0","13.0","30.0","65.0","12.0","74.0","94.0","20.0","264.0","76.0","37.0","194.0","58.0","66.0","31.0","68.0","113.0","76.0","224.0","14.0","38.0","48.0","67.0","104.0","380.0","196.0","135.0","206.0","35.0","89.0","29.0","42.0","165.0","55.0","79.0","31.0","33.0","49.0","49.0","15.0","130.0","144.0","322.0","122.0","157.0"
"Vols à main armée contre des établissements financiers","0.0","4.0","0.0","1.0","0.0","3.0","1.0","1.0","0.0","3.0","0.0","0.0","11.0","3.0","1.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","5.0","4.0","1.0","3.0","2.0","0.0","2.0","15.0","0.0","2.0","1.0","5.0","0.0","1.0","4.0","0.0","1.0","1.0","4.0","0.0","4.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","1.0","1.0","10.0","0.0","1.0","2.0","1.0","16.0","1.0","0.0","1.0","2.0","1.0","3.0","2.0","7.0","9.0","5.0","0.0","1.0","1.0","0.0","1.0","15.0","2.0","7.0","4.0","0.0","1.0","1.0","0.0","1.0","4.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","12.0","7.0","9.0","9.0"
"Vols à main armée contre des établissements industriels ou commerciaux","21.0","11.0","6.0","10.0","2.0","61.0","7.0","2.0","6.0","10.0","19.0","3.0","484.0","21.0","1.0","6.0","9.0","9.0","0.0","17.0","5.0","1.0","9.0","33.0","50.0","13.0","8.0","13.0","19.0","22.0","54.0","37.0","2.0","22.0","46.0","10.0","2.0","16.0","87.0","0.0","4.0","11.0","45.0","6.0","24.0","18.0","0.0","3.0","0.0","18.0","5.0","11.0","2.0","2.0","38.0","5.0","4.0","23.0","4.0","159.0","46.0","7.0","46.0","8.0","12.0","1.0","26.0","26.0","43.0","133.0","5.0","18.0","11.0","31.0","23.0","190.0","32.0","90.0","52.0","4.0","7.0","9.0","2.0","64.0","65.0","15.0","14.0","9.0","29.0","9.0","10.0","67.0","118.0","184.0","169.0","94.0"
"Vols à main armée contre des entreprises de transports de fonds","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","6.0","4.0","7.0","2.0"
"Vols à main armée contre des particuliers à leur domicile","1.0","3.0","1.0","2.0","0.0","14.0","3.0","0.0","2.0","3.0","2.0","0.0","101.0","3.0","1.0","3.0","2.0","2.0","1.0","8.0","2.0","0.0","4.0","3.0","14.0","3.0","6.0","4.0","7.0","5.0","24.0","7.0","2.0","2.0","20.0","2.0","0.0","5.0","9.0","0.0","1.0","0.0","4.0","2.0","3.0","6.0","1.0","2.0","0.0","7.0","0.0","3.0","3.0","2.0","5.0","2.0","1.0","7.0","2.0","35.0","10.0","0.0","6.0","2.0","3.0","0.0","6.0","11.0","4.0","19.0","6.0","1.0","1.0","3.0","5.0","50.0","9.0","10.0","12.0","1.0","3.0","3.0","2.0","33.0","26.0","1.0","2.0","1.0","9.0","5.0","2.0","17.0","2.0","21.0","33.0","13.0"
"Autres vols à main armée","3.0","4.0","5.0","3.0","0.0","32.0","3.0","3.0","1.0","4.0","6.0","0.0","321.0","3.0","0.0","0.0","5.0","3.0","0.0","5.0","6.0","0.0","2.0","9.0","14.0","6.0","4.0","5.0","6.0","7.0","37.0","25.0","0.0","7.0","36.0","11.0","1.0","3.0","57.0","2.0","1.0","1.0","15.0","1.0","19.0","12.0","3.0","1.0","0.0","7.0","1.0","4.0","1.0","1.0","18.0","1.0","2.0","15.0","2.0","57.0","26.0","2.0","9.0","5.0","2.0","2.0","15.0","14.0","15.0","59.0","3.0","9.0","4.0","8.0","4.0","83.0","23.0","51.0","25.0","1.0","4.0","2.0","1.0","22.0","30.0","1.0","1.0","1.0","4.0","10.0","3.0","56.0","23.0","81.0","64.0","68.0"
"Vols avec armes blanches contre des établissements financiers, commerciaux ou industriels","9.0","5.0","0.0","1.0","2.0","13.0","7.0","1.0","0.0","3.0","5.0","3.0","49.0","7.0","2.0","1.0","10.0","4.0","1.0","9.0","5.0","0.0","2.0","9.0","14.0","7.0","6.0","20.0","0.0","4.0","6.0","44.0","0.0","9.0","17.0","9.0","4.0","5.0","27.0","2.0","0.0","4.0","24.0","2.0","11.0","8.0","1.0","1.0","0.0","5.0","5.0","7.0","0.0","1.0","33.0","0.0","3.0","19.0","1.0","42.0","11.0","1.0","20.0","3.0","1.0","1.0","9.0","18.0","4.0","64.0","8.0","7.0","6.0","10.0","24.0","61.0","22.0","53.0","37.0","2.0","13.0","4.0","2.0","9.0","10.0","7.0","7.0","5.0","8.0","5.0","3.0","24.0","28.0","34.0","40.0","44.0"
"Vols avec armes blanches contre des particuliers à leur domicile","2.0","4.0","0.0","0.0","1.0","21.0","0.0","1.0","1.0","4.0","8.0","0.0","29.0","4.0","0.0","2.0","8.0","1.0","0.0","1.0","2.0","1.0","1.0","6.0","3.0","1.0","4.0","9.0","1.0","2.0","13.0","21.0","2.0","10.0","19.0","6.0","1.0","7.0","14.0","1.0","5.0","2.0","10.0","0.0","7.0","12.0","0.0","1.0","0.0","4.0","2.0","8.0","0.0","3.0","9.0","3.0","4.0","9.0","0.0","59.0","8.0","0.0","9.0","4.0","5.0","0.0","6.0","12.0","7.0","21.0","2.0","1.0","5.0","4.0","6.0","64.0","10.0","20.0","12.0","1.0","6.0","2.0","4.0","6.0","12.0","5.0","4.0","2.0","2.0","5.0","11.0","18.0","11.0","20.0","19.0","20.0"
"Autres vols avec armes blanches","13.0","13.0","14.0","6.0","3.0","173.0","6.0","2.0","2.0","18.0","18.0","2.0","748.0","16.0","2.0","3.0","21.0","21.0","1.0","24.0","5.0","1.0","7.0","20.0","59.0","24.0","24.0","32.0","2.0","1.0","174.0","197.0","3.0","81.0","192.0","17.0","1.0","28.0","182.0","5.0","10.0","9.0","45.0","2.0","111.0","20.0","5.0","7.0","0.0","31.0","6.0","43.0","7.0","7.0","47.0","2.0","9.0","69.0","7.0","264.0","64.0","3.0","45.0","20.0","21.0","7.0","43.0","72.0","37.0","215.0","4.0","12.0","33.0","14.0","37.0","1168.0","85.0","186.0","201.0","10.0","59.0","6.0","7.0","47.0","51.0","14.0","16.0","32.0","10.0","13.0","5.0","261.0","321.0","369.0","297.0","505.0"
"Vols violents sans arme contre des établissements financiers, commerciaux ou industriels","3.0","5.0","2.0","1.0","1.0","30.0","3.0","4.0","1.0","6.0","0.0","0.0","28.0","2.0","0.0","2.0","4.0","1.0","0.0","4.0","10.0","2.0","5.0","5.0","8.0","6.0","3.0","9.0","1.0","2.0","6.0","24.0","0.0","14.0","17.0","11.0","0.0","7.0","18.0","0.0","3.0","3.0","13.0","3.0","10.0","4.0","1.0","2.0","0.0","8.0","1.0","1.0","3.0","2.0","10.0","0.0","3.0","8.0","3.0","41.0","14.0","1.0","10.0","5.0","3.0","4.0","10.0","12.0","13.0","19.0","1.0","5.0","2.0","5.0","13.0","36.0","37.0","21.0","19.0","5.0","11.0","5.0","0.0","13.0","5.0","6.0","1.0","2.0","10.0","3.0","4.0","14.0","36.0","65.0","29.0","19.0"
"Vols violents sans arme contre des particuliers à leur domicile","10.0","12.0","5.0","4.0","3.0","39.0","3.0","8.0","5.0","3.0","9.0","1.0","55.0","12.0","0.0","9.0","8.0","3.0","3.0","8.0","7.0","2.0","6.0","4.0","7.0","15.0","15.0","26.0","2.0","5.0","24.0","29.0","5.0","22.0","36.0","11.0","2.0","20.0","20.0","2.0","5.0","13.0","13.0","5.0","28.0","20.0","1.0","12.0","1.0","8.0","4.0","17.0","6.0","8.0","17.0","3.0","23.0","16.0","2.0","76.0","17.0","4.0","45.0","9.0","10.0","6.0","11.0","16.0","16.0","26.0","4.0","5.0","12.0","2.0","18.0","134.0","19.0","15.0","16.0","7.0","20.0","2.0","4.0","23.0","27.0","13.0","11.0","7.0","3.0","12.0","3.0","26.0","29.0","25.0","38.0","30.0"
"Vols violents sans arme contre des femmes sur voie publique ou autre lieu public","61.0","88.0","41.0","48.0","22.0","1857.0","30.0","30.0","11.0","70.0","145.0","26.0","6634.0","217.0","10.0","28.0","87.0","37.0","33.0","139.0","64.0","4.0","22.0","61.0","238.0","105.0","133.0","152.0","38.0","45.0","772.0","1062.0","17.0","740.0","1197.0","164.0","24.0","138.0","292.0","23.0","46.0","54.0","306.0","20.0","174.0","255.0","16.0","60.0","1.0","109.0","25.0","271.0","31.0","27.0","251.0","11.0","60.0","250.0","33.0","2105.0","298.0","33.0","392.0","127.0","187.0","61.0","281.0","385.0","181.0","1648.0","31.0","82.0","53.0","143.0","161.0","8100.0","731.0","1490.0","1307.0","24.0","188.0","81.0","37.0","584.0","337.0","39.0","22.0","30.0","46.0","55.0","37.0","876.0","2442.0","7116.0","2422.0","1787.0"
"Vols violents sans arme contre d'autres victimes","82.0","123.0","39.0","35.0","19.0","1600.0","38.0","62.0","13.0","123.0","175.0","26.0","4867.0","272.0","13.0","49.0","132.0","57.0","51.0","197.0","85.0","2.0","44.0","104.0","301.0","221.0","238.0","324.0","43.0","19.0","591.0","1301.0","23.0","994.0","1116.0","350.0","30.0","231.0","392.0","37.0","56.0","96.0","352.0","15.0","524.0","411.0","25.0","78.0","4.0","251.0","51.0","399.0","50.0","58.0","309.0","20.0","96.0","339.0","38.0","2774.0","457.0","36.0","503.0","212.0","251.0","59.0","249.0","454.0","294.0","1689.0","17.0","97.0","150.0","167.0","215.0","7381.0","979.0","1739.0","1711.0","50.0","329.0","108.0","34.0","535.0","297.0","71.0","52.0","77.0","76.0","73.0","62.0","1315.0","2609.0","5940.0","2486.0","2111.0"
"Cambriolages de locaux d'habitations principales","1482.0","1425.0","680.0","533.0","202.0","4840.0","606.0","452.0","284.0","782.0","1207.0","383.0","14556.0","1418.0","78.0","1151.0","1912.0","625.0","288.0","1478.0","641.0","90.0","799.0","922.0","2595.0","1776.0","1668.0","945.0","184.0","226.0","4731.0","7695.0","390.0","4699.0","5744.0","1465.0","338.0","1472.0","5230.0","386.0","846.0","709.0","2166.0","253.0","3504.0","2414.0","321.0","946.0","81.0","1324.0","319.0","1995.0","369.0","308.0","2430.0","384.0","1204.0","2337.0","334.0","8957.0","2972.0","450.0","3467.0","1103.0","1351.0","515.0","1683.0","1570.0","1652.0","6620.0","395.0","1344.0","800.0","1012.0","2446.0","8733.0","2880.0","6277.0","5478.0","496.0","1249.0","1024.0","816.0","3915.0","3758.0","748.0","700.0","807.0","848.0","870.0","376.0","5563.0","4125.0","7777.0","4983.0","5615.0"
"Cambriolages de résidences secondaires","142.0","148.0","58.0","112.0","29.0","716.0","106.0","60.0","81.0","69.0","227.0","74.0","318.0","210.0","22.0","96.0","349.0","138.0","42.0","73.0","183.0","33.0","235.0","49.0","135.0","242.0","168.0","285.0","143.0","82.0","412.0","258.0","69.0","389.0","514.0","97.0","108.0","86.0","220.0","54.0","203.0","189.0","79.0","53.0","340.0","280.0","82.0","108.0","38.0","102.0","86.0","72.0","34.0","42.0","71.0","17.0","256.0","60.0","106.0","95.0","177.0","139.0","186.0","112.0","98.0","67.0","269.0","67.0","69.0","94.0","56.0","124.0","156.0","138.0","273.0","82.0","84.0","283.0","84.0","60.0","122.0","115.0","107.0","819.0","218.0","328.0","56.0","84.0","113.0","275.0","9.0","84.0","34.0","33.0","44.0","69.0"
"Cambriolages de  locaux industriels, commerciaux ou financiers","691.0","464.0","261.0","251.0","168.0","1063.0","310.0","198.0","138.0","397.0","453.0","239.0","3006.0","576.0","130.0","330.0","939.0","321.0","265.0","583.0","571.0","112.0","474.0","615.0","921.0","480.0","406.0","927.0","105.0","144.0","866.0","1786.0","203.0","1579.0","1407.0","744.0","234.0","565.0","1906.0","274.0","380.0","345.0","858.0","223.0","1728.0","741.0","179.0","432.0","68.0","801.0","288.0","509.0","209.0","321.0","778.0","123.0","1106.0","828.0","181.0","2346.0","684.0","318.0","1027.0","654.0","570.0","229.0","539.0","707.0","589.0","2035.0","286.0","585.0","439.0","624.0","1269.0","2514.0","1097.0","1021.0","701.0","346.0","561.0","316.0","348.0","935.0","649.0","795.0","371.0","376.0","543.0","459.0","117.0","743.0","733.0","1146.0","862.0","728.0"
