"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Abaucourt","P",28.94,41,"54",48.8928445916,6.26559712571,"Nancy"
"Abbecourt","P",33.080000000000005,22,"60",49.361199272,2.15509033815,"Méru"
"Abbéville-lès-Conflans","P",18.520000000000003,41,"54",49.2002692912,5.84406780319,"Briey"
"Abère","P",13.530000000000001,72,"64",43.3870958576,-0.174833109291,"Pau"
"Abergement-le-Grand","P",24.46,43,"39",46.9142864988,5.67853452364,"Dole"
"Abitain","P",18.33,72,"64",43.4173386214,-0.99809023231,"Orthez"
"Ablis","P",33.65,11,"78",48.5283257707,1.85096499421,"Rambouillet"
"Aboncourt","P",22.09,41,"57",49.2565158648,6.35416455836,"Thionville"
"Aboncourt-sur-Seille","P",15.78,41,"57",48.8186679657,6.35583662298,"Sarrebourg"
"Abrest","P",44.67,83,"03",46.0955766716,3.45052482175,"Vichy"
"Accons","P",22.980000000000004,82,"07",44.8885328213,4.39242968382,"Tournon-sur-Rhône"
"Achères","P",24.410000000000004,24,"18",47.2826534372,2.45877786434,"Bourges"
"Achey","P",20.28,43,"70",47.5770070289,5.60745476371,"Vesoul"
"Achy","P",29.380000000000003,22,"60",49.5562211633,1.97185766368,"Beauvais"
"Aclou","P",26.09,23,"27",49.1655546426,0.698293841066,"Bernay"
"Acquigny","P",23.19,23,"27",49.1648717394,1.1765581743,"Louviers"
"Adam-lès-Passavant","P",25.520000000000003,43,"25",47.3045713356,6.36894975342,"Besançon"
"Adelange","P",17.189999999999998,41,"57",49.0079073828,6.60632652354,"Boulay-Moselle"
"Adervielle-Pouchergues","P",20.43,73,"65",42.8017280148,0.389922766373,"Bagnères-de-Bigorre"
"Adriers","P",12.24,54,"86",46.2646103374,0.789659194144,"Montmorillon"
"Agassac","P",25.51,73,"31",43.3720949705,0.885301441873,"Saint-Gaudens"
"Agencourt","P",24.460000000000004,26,"21",47.1250474303,4.98564114053,"Beaune"
"Agmé","P",31.93,72,"47",44.4893814272,0.340441106525,"Marmande"
"Agnez-lès-Duisans","P",18.33,31,"62",50.3102322126,2.65021288373,"Arras"
"Agnières","P",16.729999999999997,31,"62",50.3535942668,2.60772514318,"Saint-Pol-sur-Ternoise"
"Agon-Coutainville","P",12.620000000000001,25,"50",49.0388327181,-1.58144574808,"Coutances"
"Aguessac","P",15.04,73,"12",44.1613901609,3.06898957805,"Millau"
"Ahetze","P",11.979999999999999,72,"64",43.4042762685,-1.57067985884,"Bayonne"
"Ahuillé","P",16.25,52,"53",48.0242749675,-0.872848003304,"Laval"
"Aïcirits-Camou-Suhast","P",7.590000000000001,72,"64",43.3536564293,-1.01649248098,"Mauléon-Licharre"
"Aiglun","P",25.52,93,"06",43.8524188,6.934942333,"Puget-Théniers"
"Aignerville","P",19.869999999999997,25,"14",49.3261867283,-0.918465184477,"Bayeux"
"Aigrefeuille","P",37.96,73,"31",43.5693635882,1.58421445375,"Toulouse Saint-Michel"
"Aigremont","P",48.4,11,"78",48.9008380509,2.0153630611,"Saint-Germain-en-Laye"
"Aiguebelette-le-Lac","P",34.489999999999995,82,"73",45.5476875903,5.81387589748,"Chambéry"
"Aigueperse","P",21.67,82,"69",46.2801268832,4.42330722719,"Villefranche-sur-Saône"
"Aiguèze","P",46.870000000000005,91,"30",44.3160186564,4.51739879151,"Bagnols-sur-Cèze"
"Aigurande","P",15.01,24,"36",46.455684191,1.83976972145,"Châtre (La)"
"Aillant-sur-Milleron","P",35.489999999999995,24,"45",47.7948800184,2.93667863104,"Montargis"
"Ailleville","P",36.410000000000004,21,"10",48.2549995704,4.69449329268,"Bar-sur-Aube"
"Ailly-le-Haut-Clocher","P",21.8,22,"80",50.0813661279,1.996040675,"Abbeville"
"Ainay-le-Château","P",11.770000000000001,83,"03",46.7155678491,2.72085613518,"Montluçon"
"Aincille","P",7.590000000000001,72,"64",43.1339521918,-1.19765745268,"Mauléon-Licharre"
"Aingoulaincourt","P",25.180000000000003,21,"52",48.4562339315,5.27698051622,"Saint-Dizier"
"Airan","P",16.68,25,"14",49.0953124219,-0.145440484479,"Falaise"
"Airion","P",32.43,22,"60",49.4222514079,2.41814312594,"Clermont"
"Aisey-sur-Seine","P",17.959999999999997,26,"21",47.7479865538,4.57814842131,"Montbard"
"Aiti","P",21.18,94,"2B",42.4043178377,9.22873647306,"Corte"
"Aix","P",13.33,74,"19",45.6131404682,2.39218552695,"Ussel"
"Aix-en-Othe","P",31.4,21,"10",48.1975745771,3.73632794113,"Rosières-près-Troyes"
"Aizanville","P",14.799999999999999,21,"52",48.1116130217,4.89456102722,"Chaumont"
"Aizenay","P",19.79,52,"85",46.7384516809,-1.62702889721,"Roche-sur-Yon (La)"
"Aizy-Jouy","P",24.39,22,"02",49.4384256824,3.51149185429,"Soissons"
"Ajoncourt","P",15.78,41,"57",48.8450639322,6.3036696933,"Sarrebourg"
"Alairac","P",24.24,91,"11",43.1820306523,2.2370439206,"Carcassonne"
"Alban","P",13.15,73,"81",43.8843961225,2.45700986389,"Albi"
"Albens","P",34.489999999999995,82,"73",45.789988746,5.93731067789,"Chambéry"
"Albestroff","P",15.78,41,"57",48.929810647,6.8693705224,"Sarrebourg"
"Albiac","P",39.699999999999996,73,"31",43.5558012046,1.78268278702,"Villefranche-de-Lauragais"
"Albiez-le-Jeune","P",28.859999999999996,82,"73",45.2391859578,6.35812756812,"Saint-Jean-de-Maurienne"
"Alboussière","P",22.980000000000004,82,"07",44.9397584607,4.73413213329,"Tournon-sur-Rhône"
"Alembon","P",16.82,31,"62",50.7805751248,1.87194877839,"Calais"
"Alénya","P",38.47,91,"66",42.6407019491,2.98145485065,"Perpignan"
"Aleu","P",28.049999999999997,73,"09",42.893742098,1.26749393485,"Saint-Girons"
"Argentine","P",28.859999999999996,82,"73",45.4893893107,6.33336554074,"Saint-Jean-de-Maurienne"
"Argenton-sur-Creuse","P",15.01,24,"36",46.5787862593,1.4926283101,"Châtre (La)"
"Argiésans","P",19.55,43,"90",47.6049743564,6.82328122613,"Belfort"
"Argiusta-Moriccio","P",21.74,94,"2A",41.815640033,9.0324658577,"Sartène"
"Argol","P",23.020000000000003,53,"29",48.2496052712,-4.29867172624,"Châteaulin"
"Arguel","P",25.520000000000003,43,"25",47.1842585224,6.00851020634,"Besançon"
"Arifat","P",22.529999999999998,73,"81",43.7758760162,2.3529229423,"Castres"
"Arlanc","P",13.85,83,"63",45.4207986655,3.72311154214,"Ambert"
"Arleuf","P",18.830000000000002,26,"58",47.0404133279,4.01572442394,"Château-Chinon"
"Armancourt","P",45.99,22,"60",49.370833099,2.76400949363,"Compiègne"
"Armaucourt","P",28.94,41,"54",48.8125986306,6.298257299,"Nancy"
"Armentières","P",44.050000000000004,31,"59",50.6913797537,2.8797155328,"Armentières"
"Armissan","P",46.22,91,"11",43.187641628,3.08927705991,"Narbonne"
"Arnac-la-Poste","P",16.080000000000002,74,"87",46.2639834442,1.37338277352,"Bellac"
"Arnac-sur-Dourdou","P",15.04,73,"12",43.7187010455,2.94592121582,"Millau"
"Arnave","P",28.31,73,"09",42.8522962517,1.64611606147,"Foix"
"Arnèke","P",17.63,31,"59",50.8416889858,2.41843292762,"Hazebrouck"
"Arnouville-lès-Mantes","P",38.209999999999994,11,"78",48.911006894,1.72043999321,"Mantes-la-Jolie"
"Arpajon","P",50.47,11,"91",48.5908921647,2.24349117607,"Arpajon"
"Arpheuilles","P",20.99,24,"36",46.8997863068,1.27397966099,"Blanc (Le)"
"Arquenay","P",16.25,52,"53",47.9860121101,-0.588034521359,"Laval"
"Arquettes-en-Val","P",24.24,91,"11",43.1050377635,2.49669784552,"Carcassonne"
"Arrancy","P",27.84,22,"02",49.4989016398,3.7647230005,"Laon"
"Arras-sur-Rhône","P",22.980000000000004,82,"07",45.1436776654,4.8036312124,"Tournon-sur-Rhône"
"Arraute-Charritte","P",7.590000000000001,72,"64",43.419824465,-1.11344095243,"Mauléon-Licharre"
"Arrelles","P",36.410000000000004,21,"10",48.0462178704,4.27438158257,"Bar-sur-Aube"
"Arreux","P",19.380000000000003,21,"08",49.8258643025,4.6613050432,"Charleville-Mézières"
"Arrigas","P",30.400000000000002,91,"30",43.9902038605,3.48117676072,"Vigan (Le)"
"Arro","P",21.32,94,"2A",42.0965260296,8.8040243417,"Ajaccio"
"Arronville","P",37.690000000000005,11,"95",49.1740736985,2.1128755699,"Cergy-Pontoise"
"Arry","P",21.8,22,"80",50.2821494192,1.72270579703,"Abbeville"
"Ambonville","P",25.180000000000003,21,"52",48.3139710416,5.01062838373,"Saint-Dizier"
"Ambrières","P",39.35,21,"51",48.629003135,4.82923701475,"Vitry-le-François"
"Ambutrix","P",25.549999999999997,82,"01",45.9367134524,5.3328092349,"Belley"
"Amendeuix-Oneix","P",7.590000000000001,72,"64",43.3445045858,-1.04369537456,"Mauléon-Licharre"
"Amenucourt","P",37.690000000000005,11,"95",49.11033118,1.65004984269,"Cergy-Pontoise"
"Cazenave-Serres-et-Allens","P",28.31,73,"09",42.8420776047,1.6911129703,"Foix"
"Cazes-Mondenard","P",37.0,73,"82",44.2128308252,1.21516583038,"Castelsarrasin"
"Cazouls-d'Hérault","P",51.9,91,"34",43.5018486169,3.45727466019,"Pézenas-Sète"
"Céaux-d'Allègre","P",11.420000000000002,83,"43",45.1831789556,3.7598519485,"Puy-en-Velay (Le)"
"Ceilhes-et-Rocozels","P",34.53,91,"34",43.809322318,3.09184232431,"Béziers"
"Celle-Lévescault","P",16.699999999999996,54,"86",46.3990380098,0.169884448212,"Poitiers"
"Cellefrouin","P",20.81,54,"16",45.8877573804,0.391851835711,"Confolens"
"Celles","P",34.1,91,"34",43.6663640232,3.35967873955,"Lodève"
"Celles-sur-Plaine","P",18.23,41,"88",48.4499228234,6.96838114646,"Saint-Dié-des-Vosges"
"Cellule","P",19.3,83,"63",45.9461134694,3.14687975818,"Riom"
"Cénac","P",32.779999999999994,72,"33",44.7826946723,-0.456684447802,"Bordeaux-Bastide"
"Cendrey","P",25.520000000000003,43,"25",47.39870448,6.24551247571,"Besançon"
"Cénevières","P",19.5,73,"46",44.4455008428,1.73871325371,"Cahors"
"Censerey","P",17.959999999999997,26,"21",47.1975226763,4.33557297312,"Montbard"
"Cepoy","P",35.489999999999995,24,"45",48.0508863567,2.74010416872,"Montargis"
"Cercié","P",21.67,82,"69",46.1259448157,4.66717778294,"Villefranche-sur-Saône"
"Cercles","P",21.97,72,"24",45.367110589,0.469505189702,"Ribérac"
"Cerdon","P",29.189999999999998,24,"45",47.6299186758,2.38147298677,"Gien"
"Cerfontaine","P",22.02,31,"59",50.2591419146,4.02505740703,"Avesnes-sur-Helpe"
"Cerisé","P",51.059999999999995,25,"61",48.4441981247,0.131476179306,"Alençon"
"Cerisy-la-Salle","P",12.620000000000001,25,"50",49.0364321556,-1.27126890359,"Coutances"
"Cernay","P",14.979999999999999,25,"14",49.0163802116,0.323907540392,"Lisieux"
"Cernay","P",19.99,42,"68",47.7945078153,7.17932820409,"Thann"
"Cernay-lès-Reims","P",34.58,21,"51",49.2538223791,4.10981558086,"Reims"
"Cernoy","P",32.43,22,"60",49.4426355659,2.53929202364,"Clermont"
"Cerny-lès-Bucy","P",27.84,22,"02",49.5778658953,3.54646763896,"Laon"
"Cerqueux","P",14.979999999999999,25,"14",48.9970064334,0.34767335012,"Lisieux"
"Cersot","P",19.060000000000002,26,"71",46.7053648589,4.63239889903,"Chalon-sur-Saône"
"Cervione","P",25.52,94,"2B",42.3210930584,9.5154262188,"Ghisonaccia"
"Césarville-Dossainville","P",32.64,24,"45",48.2628087686,2.28517501246,"Pithiviers"
"Cescau","P",18.33,72,"64",43.4123325253,-0.503690665578,"Orthez"
"Cesse","P",17.150000000000002,41,"55",49.5091057988,5.14445527647,"Verdun"
"Cessey-sur-Tille","P",24.919999999999998,26,"21",47.2826894363,5.22925864232,"Dijon"
"Cessoy-en-Montois","P",32.78,11,"77",48.5073073046,3.13884419418,"Provins"
"Cevins","P",51.13,82,"73",45.6094285678,6.4969871671,"Albertville"
"Ceyssac","P",11.420000000000002,83,"43",45.03515198,3.83028543045,"Puy-en-Velay (Le)"
"Ceyzériat","P",21.809999999999995,82,"01",46.1832170988,5.32007207542,"Bourg-en-Bresse"
"Cézan","P",23.36,73,"32",43.803230782,0.49733255319,"Condom"
"Chabeuil","P",47.69,82,"26",44.9082255842,5.00743034189,"Valence"
"Chabrac","P",20.81,54,"16",45.926486151,0.746752143002,"Confolens"
"Chabrignac","P",14.059999999999999,74,"19",45.3140230281,1.34219381764,"Brive-la-Gaillarde"
"Chacrise","P",24.39,22,"02",49.3002009035,3.39759102537,"Soissons"
"Chaffois","P",15.9,43,"25",46.9171603801,6.25633927954,"Pontarlier"
"Chahaignes","P",19.96,52,"72",47.752016178,0.513758960916,"Flèche (La)"
"Chailland","P",16.25,52,"53",48.2319686385,-0.868605352742,"Laval"
"Chaillevois","P",27.84,22,"02",49.5081654549,3.52234605948,"Laon"
"Chailloué","P",18.04,25,"61",48.6568911726,0.196513358702,"Alençon-Argentan"
"Chailly-sur-Armançon","P",24.460000000000004,26,"21",47.2731849062,4.47732423155,"Beaune"
"Chaise-Dieu-du-Theil","P",24.61,23,"27",48.7557442906,0.770932355905,"Evreux"
"Chalain-le-Comtal","P",20.71,82,"42",45.6411269141,4.17221132927,"Montbrison"
"Chalais","P",16.93,54,"16",45.2739548684,0.0385508867289,"Angoulême"
"Chalampé","P",28.22,42,"68",47.8321259921,7.54929893347,"Mulhouse"
"Chalautre-la-Petite","P",45.89,11,"77",48.5273173873,3.31527496472,"Provins"
"Chalette-sur-Voire","P",36.410000000000004,21,"10",48.4518666815,4.42460080275,"Bar-sur-Aube"
"Chalèze","P",25.520000000000003,43,"25",47.261122307,6.09541799233,"Besançon"
"Chalinargues","P",12.87,83,"15",45.1621460049,2.93209906595,"Saint-Flour"
"Challes","P",21.94,52,"72",47.9342773547,0.428982036509,"Mans (Le)"
"Challignac","P",22.45,54,"16",45.4236400106,-0.0845558170102,"Cognac"
"Chalon-sur-Saône","P",51.419999999999995,26,"71",46.7900288793,4.85191555008,"Chalon-sur-Saône"
"Châlons-en-Champagne","P",56.71000000000001,21,"51",48.9640892125,4.37883539725,"Châlons-en-Champagne"
"Châlonvillars","P",24.41,43,"70",47.6376239575,6.77677655233,"Lure"
"Chalvignac","P",8.47,83,"15",45.2475912738,2.26458985433,"Mauriac"
"Castiglione","P",21.18,94,"2B",42.4094045132,9.11404108561,"Corte"
"Castillon (Canton de Lembeye)","P",13.530000000000001,72,"64",43.4827393039,-0.12995598336,"Pau"
"Castillon-en-Couserans","P",28.049999999999997,73,"09",42.9165658331,1.05571963783,"Saint-Girons"
"Castilly","P",19.869999999999997,25,"14",49.2738212001,-1.01618091821,"Bayeux"
"Castineta","P",21.18,94,"2B",42.4281629327,9.27331954769,"Corte"
"Castries","P",51.81,91,"34",43.6886913473,3.97909849679,"Lunel"
"Catillon-Fumechon","P",32.43,22,"60",49.5268754931,2.37843374733,"Clermont"
"Cattenom","P",22.09,41,"57",49.4154747401,6.2351808823,"Thionville"
"Catus","P",19.5,73,"46",44.5584146549,1.34151024683,"Cahors"
"Caubon-Saint-Sauveur","P",31.93,72,"47",44.5927480005,0.184135065483,"Marmande"
"Caudebec-en-Caux","P",15.52,23,"76",49.5305126235,0.734830682082,"Yvetot"
"Caudiès-de-Conflent","P",34.37,91,"66",42.563639266,2.1426420364,"Prades"
"Caulaincourt","P",21.38,22,"02",49.864658382,3.11126489473,"Saint-Quentin"
"Caumont","P",28.049999999999997,73,"09",43.024099366,1.07931622344,"Saint-Girons"
"Caumont","P",12.51,73,"32",43.6914735474,-0.108660908583,"Mirande"
"Caumont-sur-Durance","P",43.269999999999996,93,"84",43.8913580487,4.95633077332,"Avignon"
"Caunette-sur-Lauquet","P",20.85,91,"11",43.027894163,2.42690541874,"Limoux"
"Caurel","P",34.58,21,"51",49.3039168337,4.14507952597,"Reims"
"Cauroy","P",21.57,21,"08",49.3512411409,4.45940865282,"Vouziers"
"Causse-Bégon","P",30.400000000000002,91,"30",44.0660478253,3.35485547926,"Vigan (Le)"
"Caussou","P",28.31,73,"09",42.7721552831,1.82193324504,"Foix"
"Cauvigny","P",33.080000000000005,22,"60",49.3026459577,2.24002692157,"Méru"
"Cauville-sur-Mer","P",21.910000000000004,23,"76",49.593844191,0.144981167051,"Havre (Le)"
"Cavaillon","P",61.46,93,"84",43.8508361826,5.03606300916,"Cavaillon"
"Cavignac","P",35.900000000000006,72,"33",45.096401427,-0.381910358061,"Blaye"
"Caychax","P",28.31,73,"09",42.8074176311,1.72818525568,"Foix"
"Cayriech","P",24.43,73,"82",44.2153908954,1.60546514624,"Montauban"
"Cazalrenoux","P",24.24,91,"11",43.1886848888,1.94714608711,"Carcassonne"
"Cazals","P",24.43,73,"82",44.1249834446,1.6848635445,"Montauban"
"Cazats","P",26.759999999999998,72,"33",44.473019034,-0.203200932598,"Langon"
"Cazaux-Fréchet-Anéran-Camors","P",20.43,73,"65",42.8433198052,0.433537773802,"Bagnères-de-Bigorre"
"Cazeaux-de-Larboust","P",25.51,73,"31",42.7515051317,0.532234410988,"Saint-Gaudens"
"Chamaloc","P",33.14,82,"26",44.8119455812,5.38565949855,"Die"
"Chambain","P",17.959999999999997,26,"21",47.7950502005,4.91900088796,"Montbard"
"Chambellay","P",20.939999999999998,52,"49",47.6887999605,-0.69354489611,"Segré"
"Chambéria","P",17.94,43,"39",46.4694472775,5.5703149623,"Lons-le-Saunier"
"Chambles","P",20.71,82,"42",45.4520672053,4.22612997142,"Montbrison"
"Chamboeuf","P",20.71,82,"42",45.5743049771,4.32163705727,"Montbrison"
"Sainte-Blandine","P",27.81,82,"38",45.5450974508,5.43494721601,"Tour-du-Pin (La)"
"Sainte-Catherine","P",13.85,83,"63",45.4508139616,3.47808095492,"Ambert"
"Sainte-Cécile-d'Andorge","P",32.11,91,"30",44.2612523618,3.98352862415,"Alès"
"Sainte-Christie","P",18.650000000000002,73,"32",43.7568936206,0.632111364488,"Auch"
"Sainte-Christine","P",15.66,52,"49",47.2890847169,-0.836795874774,"Cholet"
"Sainte-Colombe","P",17.959999999999997,26,"21",47.4272975926,4.46203899793,"Montbard"
"Sainte-Colombe","P",33.980000000000004,82,"69",45.5250030617,4.85931457938,"Givors"
"Sainte-Colombe-de-la-Commanderie","P",38.47,91,"66",42.6154060137,2.73987613858,"Perpignan"
"Sainte-Colombe-sur-Gand","P",10.76,82,"42",45.8677779412,4.28292761777,"Roanne"
"Sainte-Colome","P",16.16,72,"64",43.1097407715,-0.381940819142,"Oloron-Sainte-Marie"
"Sainte-Croix","P",30.450000000000003,82,"01",45.895522477,5.04935536228,"Trévoux"
"Sainte-Croix","P",19.5,73,"46",44.3460986757,1.15618835006,"Cahors"
"Sainte-Croix-de-Quintillargues","P",45.07000000000001,91,"34",43.7680759693,3.91047320364,"Castelnau-le-Lez"
"Sainte-Croix-Grand-Tonne","P",16.919999999999998,25,"14",49.2337047582,-0.556033226741,"Caen"
"Sainte-Croix-sur-Aizier","P",24.16,23,"27",49.4146315138,0.633740580449,"Pont-Audemer"
"Sainte-Croix-Volvestre","P",28.049999999999997,73,"09",43.1197309589,1.17100553891,"Saint-Girons"
"Sainte-Eulalie","P",24.24,91,"11",43.2427203696,2.20565895321,"Carcassonne"
"Sainte-Eulalie-d'Eymet","P",20.48,72,"24",44.7093311565,0.35938458115,"Bergerac"
"Sainte-Eusoye","P",29.380000000000003,22,"60",49.5752040683,2.25015619286,"Beauvais"
"Sainte-Flaive-des-Loups","P",28.450000000000003,52,"85",46.611019489,-1.58031627863,"Sables d'Olonne (Les)"
"Sainte-Florine","P",15.779999999999998,83,"43",45.4018591959,3.30958888923,"Brioude"
"Sainte-Foy","P",13.1,23,"76",49.7989403084,1.1394452282,"Dieppe"
"Sainte-Foy-l'Argentière","P",32.71,82,"69",45.7046028711,4.4705436953,"Arbresle (L')"
"Sainte-Foy-Tarentaise","P",51.13,82,"73",45.5842289817,6.94134524499,"Albertville"
"Sainte-Gemme","P",28.32,54,"17",45.7749267656,-0.892730905107,"Saintes"
"Sainte-Gemme","P",18.939999999999998,54,"79",46.8997139729,-0.282960726169,"Bressuire"
"Sainte-Gemmes-d'Andigné","P",20.939999999999998,52,"49",47.6660928171,-0.895241558075,"Segré"
"Sainte-Geneviève","P",28.94,41,"54",48.8702243582,6.13715548513,"Nancy"
"Sainte-Geneviève","P",20.66,23,"76",49.6585101081,1.42293352559,"Neufchâtel-en-Bray"
"Sainte-Hélène","P",32.64,72,"33",44.9726615806,-0.913525242529,"Lesparre-Médoc"
"Sainte-Hélène-sur-Isère","P",51.13,82,"73",45.6022927013,6.32652357893,"Albertville"
"Sainte-Honorine-la-Chardonne","P",15.580000000000002,25,"61",48.8247345941,-0.476136278421,"Domfront"
"Sainte-Juliette-sur-Viaur","P",9.94,73,"12",44.2186396438,2.50113925253,"Rodez"
"Sainte-Lizaigne","P",22.15,24,"36",47.0110071957,1.99544056226,"Issoudun"
"Sainte-Marguerite","P",15.779999999999998,83,"43",45.2105754797,3.58257296293,"Brioude"
"Sainte-Marguerite-en-Ouche","P",26.09,23,"27",49.0196621847,0.65169689762,"Bernay"
"Sainte-Marie","P",21.53,93,"05",44.4639998729,5.47415675357,"Gap"
"Sainte-Marie","P",12.87,83,"15",44.8925014312,2.88292989924,"Saint-Flour"
"Sainte-Marie","P",20.43,73,"65",42.9691035062,0.628958999643,"Bagnères-de-Bigorre"
"Sainte-Marie-Cappel","P",17.63,31,"59",50.780208006,2.51589636551,"Hazebrouck"
"Sainte-Marie-de-Gosse","P",34.44,72,"40",43.5519446169,-1.23258094215,"Dax"
"Sainte-Marie-de-Vatimesnil","P",29.400000000000006,23,"27",49.2721801587,1.58233388295,"Andelys (Les)"
"Sainte-Marie-du-Lac-Nuisement","P",39.35,21,"51",48.6009118806,4.76140676125,"Vitry-le-François"
"Sainte-Marie-la-Robert","P",18.04,25,"61",48.6261229757,-0.143899474106,"Alençon-Argentan"
"Sainte-Marthe","P",24.61,23,"27",48.957887614,0.881178066443,"Evreux"
"Sainte-Menehould","P",32.91,21,"51",49.0865774658,4.94259439229,"Châlons-en-Champagne"
"Sainte-Montaine","P",25.499999999999996,24,"18",47.5015231113,2.32162111568,"Vierzon"
"Sainte-Néomaye","P",18.869999999999997,54,"79",46.3617084983,-0.263692629127,"Niort"
"Sainte-Orse","P",19.78,72,"24",45.2054528162,1.07317374722,"Périgueux"
"Sainte-Pience","P",15.36,25,"50",48.7713169182,-1.29851023982,"Avranches"
"Sainte-Radegonde","P",20.48,72,"24",44.6845072022,0.677670644919,"Bergerac"
"Sainte-Radegonde","P",30.36,72,"33",44.8030043488,0.0238709656269,"Libourne"
"Sainte-Ramée","P",29.24,54,"17",45.419274916,-0.664112168706,"Jonzac"
"Sainte-Sabine","P",24.460000000000004,26,"21",47.1875125214,4.62169164492,"Beaune"
"Sainte-Segrée","P",32.160000000000004,22,"80",49.7602729981,1.91464272826,"Montdidier"
"Sainte-Souline","P",22.45,54,"16",45.3774799244,-0.0211237715554,"Cognac"
"Sainte-Terre","P",30.36,72,"33",44.8338850704,-0.120538591172,"Libourne"
"Sainte-Tulle","P",35.86,93,"04",43.7830482525,5.77302331731,"Forcalquier"
"Saintines","P",46.8,22,"60",49.3020445014,2.76780194989,"Senlis"
"Sainville","P",30.81,24,"28",48.4153857478,1.88200624319,"Lucé"
"Saires-la-Verrerie","P",15.580000000000002,25,"61",48.6896183653,-0.4875928451,"Domfront"
"Saix","P",15.8,54,"86",47.1417376447,0.00673655616709,"Châtellerault"
"Salagnon","P",33.57,82,"38",45.6684234149,5.35714106149,"Bourgoin-Jallieu"
"Salavas","P",26.229999999999997,82,"07",44.3884517023,4.36713374298,"Largentière"
"Salazac","P",46.870000000000005,91,"30",44.2565156091,4.53650899935,"Bagnols-sur-Cèze"
"Saleignes","P",32.03,54,"17",46.0171498466,-0.185321832625,"Saint-Jean-d'Angély"
"Salernes","P",39.22,93,"83",43.5621099339,6.22873067235,"Draguignan"
"Salettes","P",11.420000000000002,83,"43",44.866504818,3.98094125791,"Puy-en-Velay (Le)"
"Salignac","P",35.86,93,"04",44.1571681055,5.98824785964,"Forcalquier"
"Saligney","P",24.46,43,"39",47.2229745913,5.63681673671,"Dole"
"Saligny","P",36.32,26,"89",48.2154264712,3.35240862773,"Sens"
"Salinelles","P",57.49,91,"30",43.8113201948,4.06673339715,"Vauvert"
"Sallanches","P",42.91,82,"74",45.9468155788,6.60711053078,"Chamonix"
"Sallèles-d'Aude","P",46.22,91,"11",43.2700227368,2.93528136754,"Narbonne"
"Sallenelles","P",16.919999999999998,25,"14",49.2637001725,-0.233420635581,"Caen"
"Salles","P",19.700000000000003,73,"65",43.0304838604,-0.170939051228,"Argelès-Gazost"
"Salles-d'Angles","P",22.45,54,"16",45.6192884058,-0.344548280548,"Cognac"
"Salles-de-Villefagnan","P",20.81,54,"16",45.9599094427,0.17124025939,"Confolens"
"Salles-Lavalette","P",16.93,54,"16",45.3880236045,0.23183888353,"Angoulême"
"Salles-sur-Mer","P",31.950000000000003,54,"17",46.1025147874,-1.05196380014,"Rochelle (La)"
"Salon","P",33.36,21,"10",48.6427112307,4.01781744354,"Nogent-sur-Seine"
"Salornay-sur-Guye","P",24.58,26,"71",46.5174514836,4.6006444858,"Mâcon"
"Salvagnac","P",25.05,73,"81",43.9201151478,1.67981306162,"Gaillac"
"Salza","P",24.24,91,"11",42.9854396478,2.5059068011,"Carcassonne"
"Samadet","P",18.24,72,"40",43.6301574528,-0.49120862479,"Mont-de-Marsan"
"Sambin","P",27.34,24,"41",47.4324580301,1.27722712969,"Romorantin-Lanthenay"
"Sammeron","P",40.69,11,"77",48.9415743758,3.07701664102,"Coulommiers"
"Samonac","P",35.900000000000006,72,"33",45.0708411612,-0.571604822734,"Blaye"
"Samouillan","P",25.51,73,"31",43.2672173655,0.949728378128,"Saint-Gaudens"
"Sampolo","P",21.74,94,"2A",41.9468987764,9.12053513385,"Sartène"
"San-Gavino-di-Carbini","P",21.74,94,"2A",41.6806017168,9.23310910423,"Sartène"
"San-Lorenzo","P",21.18,94,"2B",42.3897522574,9.28923196943,"Corte"
"Sancerre","P",24.410000000000004,24,"18",47.3256994042,2.82156691385,"Bourges"
"Sancoins","P",25.020000000000003,24,"18",46.8245784906,2.91377950744,"Saint-Amand-Montrond"
"Sancourt","P",16.839999999999996,31,"59",50.2144498638,3.19130962776,"Cambrai"
"Sancy-lès-Provins","P",32.78,11,"77",48.7095987707,3.39288392593,"Provins"
"Sangatte","P",45.660000000000004,31,"62",50.9410415453,1.76958356617,"Calais"
"Sannat","P",14.680000000000001,74,"23",46.1229856338,2.41539962939,"Aubusson"
"Augnat","P",18.82,83,"63",45.4140216179,3.17930900469,"Issoire"
"Augy","P",24.39,22,"02",49.340063724,3.5110198819,"Soissons"
"Augy-sur-Aubois","P",25.020000000000003,24,"18",46.7829151486,2.85715092019,"Saint-Amand-Montrond"
"Aujeurres","P",25.62,21,"52",47.7387809421,5.17295673992,"Langres"
"Aulnay","P",36.410000000000004,21,"10",48.4783453651,4.41533916578,"Bar-sur-Aube"
"Aulnay-sous-Bois","P",81.86,11,"93",48.9458384367,2.49329041687,"Aulnay-sous-Bois"
"Aulnay-sur-Marne","P",32.91,21,"51",48.9973425988,4.20731510255,"Châlons-en-Champagne"
"Aulnois-sur-Seille","P",15.78,41,"57",48.8619380667,6.32824523031,"Sarrebourg"
"Aulon","P",20.43,73,"65",42.8566915829,0.263308131503,"Bagnères-de-Bigorre"
"Aumagne","P",32.03,54,"17",45.880093124,-0.411702053139,"Saint-Jean-d'Angély"
